ticker,name,listed,asset_class,country,datasource,datasource_ticker
BHDNZD=X,BHD/NZD,TRUE,currency,n/a,yfinance,BHDNZD=X
BRLTHB=X,BRL/THB,TRUE,currency,n/a,yfinance,BRLTHB=X
BWPPGK=X,BWP/PGK,TRUE,currency,n/a,yfinance,BWPPGK=X
BWPRSD=X,BWP/RSD,TRUE,currency,n/a,yfinance,BWPRSD=X
BAMEUR=X,BAM/EUR,TRUE,currency,n/a,yfinance,BAMEUR=X
BBDUSD=X,BBD/USD,TRUE,currency,n/a,yfinance,BBDUSD=X
BHDSAR=X,BHD/SAR,TRUE,currency,n/a,yfinance,BHDSAR=X
BWPZMW=X,BWP/ZMW,TRUE,currency,n/a,yfinance,BWPZMW=X
BWPBMD=X,BWP/BMD,TRUE,currency,n/a,yfinance,BWPBMD=X
BZDGBP=X,BZD/GBP,TRUE,currency,n/a,yfinance,BZDGBP=X
BWPOMR=X,BWP/OMR,TRUE,currency,n/a,yfinance,BWPOMR=X
BRLCNY=X,BRL/CNY,TRUE,currency,n/a,yfinance,BRLCNY=X
GDEBM.MDD,GDEBM.MDD,TRUE,currency,n/a,yfinance,GDEBM.MDD
BWPRON=X,BWP/RON,TRUE,currency,n/a,yfinance,BWPRON=X
BGNGBP=X,BGN/GBP,TRUE,currency,n/a,yfinance,BGNGBP=X
BOBUYU=X,BOB/UYU,TRUE,currency,n/a,yfinance,BOBUYU=X
BRLTRY=X,BRL/TRY,TRUE,currency,n/a,yfinance,BRLTRY=X
BHD=X,USD/BHD,TRUE,currency,n/a,yfinance,BHD=X
BNDIDR=X,BND/IDR,TRUE,currency,n/a,yfinance,BNDIDR=X
BWPNOK=X,BWP/NOK,TRUE,currency,n/a,yfinance,BWPNOK=X
